timestamp,value
2024-01-01 00:00:00,0.0
2024-01-01 01:00:00,1.1
2024-01-01 02:00:00,2.2
2024-01-01 03:00:00,3.3
2024-01-01 04:00:00,4.4
2024-01-01 05:00:00,5.5
2024-01-01 06:00:00,6.6
2024-01-01 07:00:00,7.7
2024-01-01 08:00:00,8.8
2024-01-01 09:00:00,9.9
2024-01-01 10:00:00,11.0
2024-01-01 11:00:00,12.1
2024-01-01 12:00:00,13.2
2024-01-01 13:00:00,14.3
2024-01-01 14:00:00,15.4
2024-01-01 15:00:00,16.5
2024-01-01 16:00:00,17.6
2024-01-01 17:00:00,18.7
2024-01-01 18:00:00,19.8
2024-01-01 19:00:00,20.9
2024-01-01 20:00:00,22.0
2024-01-01 21:00:00,23.1
2024-01-01 22:00:00,24.2
2024-01-01 23:00:00,25.3
2024-01-02 00:00:00,26.4
2024-01-02 01:00:00,27.5
2024-01-02 02:00:00,28.6
2024-01-02 03:00:00,29.7
2024-01-02 04:00:00,30.8
2024-01-02 05:00:00,31.9
2024-01-02 06:00:00,33.0
2024-01-02 07:00:00,34.1
2024-01-02 08:00:00,35.2
2024-01-02 09:00:00,36.3
2024-01-02 10:00:00,37.4
2024-01-02 11:00:00,38.5
2024-01-02 12:00:00,39.6
2024-01-02 13:00:00,40.7
2024-01-02 14:00:00,41.8
2024-01-02 15:00:00,42.9
2024-01-02 16:00:00,44.0
2024-01-02 17:00:00,45.1
2024-01-02 18:00:00,46.2
2024-01-02 19:00:00,47.3
2024-01-02 20:00:00,48.4
2024-01-02 21:00:00,49.5
2024-01-02 22:00:00,50.6
2024-01-02 23:00:00,51.7
2024-01-03 00:00:00,52.8
2024-01-03 01:00:00,53.9
